MsgID.LOCAL_POSITION,128.6060000,-282.9256897,289.9283752,0.0779176
MsgID.LOCAL_VELOCITY,128.6060000,0.0000045,0.0000259,0.0000052
MsgID.GLOBAL_POSITION,0.0000000,-122.3941898,37.7899344,-0.0730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,128.8560000,-282.8927307,290.0891418,0.0739563
MsgID.LOCAL_VELOCITY,128.8560000,0.0000009,0.0000272,0.0000109
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941906,37.7899341,-0.0630000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,129.1050000,-282.9227295,290.0173035,0.0634986
MsgID.LOCAL_VELOCITY,129.1050000,0.0000020,0.0000308,0.0000054
MsgID.LOCAL_POSITION,129.3560000,-282.9887695,289.9316406,0.0444479
MsgID.LOCAL_VELOCITY,129.3560000,-0.0000088,0.0000203,0.0000095
MsgID.GLOBAL_POSITION,0.0000000,-122.3941915,37.7899335,-0.0440000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,129.6060000,-283.1842651,289.8154907,0.0156714
MsgID.LOCAL_VELOCITY,129.6060000,-0.0000030,0.0000453,0.0000125
MsgID.GLOBAL_POSITION,0.0000000,-122.3941928,37.7899318,-0.0150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941918,37.7899329,0.0130000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,129.8570000,-283.0555725,289.9098206,-0.0137829
MsgID.LOCAL_VELOCITY,129.8570000,0.0000113,0.0000554,0.0000112
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,130.1060000,-283.1517029,290.0013428,-0.0416274
MsgID.LOCAL_VELOCITY,130.1060000,0.0000002,0.0000503,0.0000201
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899321,0.0410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,130.3570000,-283.2368774,290.0026855,-0.0608943
MsgID.LOCAL_VELOCITY,130.3570000,0.0000113,0.0000617,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899313,0.0600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899322,0.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,130.6070000,-283.1351929,290.0021667,-0.0690900
MsgID.LOCAL_VELOCITY,130.6070000,0.0000088,0.0000659,0.0000223
MsgID.LOCAL_POSITION,130.8560000,-283.0635071,290.0026855,-0.0663415
MsgID.LOCAL_VELOCITY,130.8560000,0.0000014,0.0000510,0.0000191
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899328,0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,131.1060000,-283.0553284,290.0361633,-0.0542032
MsgID.LOCAL_VELOCITY,131.1060000,-0.0000020,0.0000521,0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3941903,37.7899329,0.0540000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,131.3560000,-283.0552979,290.0405579,-0.2196629
MsgID.LOCAL_VELOCITY,131.3560000,0.0010235,0.0008530,-1.7989466
MsgID.GLOBAL_POSITION,0.0000000,-122.3941903,37.7899329,0.2190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.7900000
MsgID.LOCAL_POSITION,131.6060000,-283.0553284,290.0500183,-0.8328484
MsgID.LOCAL_VELOCITY,131.6060000,0.0029642,0.0034964,-2.9184124
MsgID.GLOBAL_POSITION,0.0000000,-122.3941902,37.7899329,0.8320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.9100000
MsgID.LOCAL_POSITION,131.8560000,-283.0553284,290.0201416,-1.5722827
MsgID.LOCAL_VELOCITY,131.8560000,-0.0009851,-0.0005823,-3.2025881
MsgID.GLOBAL_POSITION,0.0000000,-122.3941905,37.7899329,1.5720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.2000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,132.1060000,-283.0485229,289.9994202,-2.3885903
MsgID.LOCAL_VELOCITY,132.1060000,-0.0000610,0.0022428,-3.3324809
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899330,2.3880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.3300000
MsgID.LOCAL_POSITION,132.3570000,-283.0280151,289.8784485,-3.2801497
MsgID.LOCAL_VELOCITY,132.3570000,0.0001935,0.0092798,-3.3953207
MsgID.GLOBAL_POSITION,0.0000000,-122.3941921,37.7899332,3.2800000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.3900000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941908,37.7899318,4.1380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-3.4200000
MsgID.LOCAL_POSITION,132.6070000,-283.1769409,289.9940186,-4.1387377
MsgID.LOCAL_VELOCITY,132.6070000,-0.0041585,0.0196419,-3.4231188
MsgID.GLOBAL_POSITION,0.0000000,-122.3941892,37.7899321,4.9730000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-2.2900000
MsgID.LOCAL_POSITION,132.8560000,-283.1507263,290.1426392,-4.9738679
MsgID.LOCAL_VELOCITY,132.8560000,-0.0001929,0.0182745,-2.2902415
